date,e2,v1,proportion,proportion_se,proportion_deff,n,unw_prop
2021-02-08,City,No,0.9458592040377344,0.012942655599971622,3.0683181352142888,890,0.5335731414868106
2021-02-08,Town,Yes,0.18486788582499827,0.04877950450023003,5.2107579272823585,36,0.02158273381294964
2021-02-08,Town,No,0.8151321141750016,0.04877950450023003,5.2107579272823585,295,0.17685851318944845
2021-02-08,Village or rural area,Yes,0.09923892433868643,0.03366062140488554,5.032053531098232,35,0.020983213429256596
2021-02-08,Village or rural area,No,0.9007610756613136,0.03366062140488554,5.032053531098232,363,0.21762589928057555
2021-02-09,City,Yes,0.06849196740895507,0.014869066222098938,3.292050803247047,66,0.037564029595902104
2021-02-09,City,No,0.9315080325910449,0.014869066222098938,3.2920508032470472,885,0.5036994877632328
2021-02-09,Town,Yes,0.08548910647934159,0.028073612777396537,3.78033211783026,35,0.0199203187250996
2021-02-09,Town,No,0.9145108935206584,0.028073612777396537,3.7803321178302602,341,0.19408081957882756
2021-02-09,Village or rural area,Yes,0.06596135637071211,0.01367989549551726,1.3030787184583978,39,0.0221969265793967
2021-02-09,Village or rural area,No,0.9340386436292878,0.013679895495517262,1.3030787184583983,391,0.22253841775754127
2021-02-10,City,Yes,0.07865797985382093,0.016759265635388616,3.7245293957926124,71,0.04011299435028248
2021-02-10,City,No,0.921342020146179,0.016759265635388616,3.724529395792613,891,0.5033898305084745
2021-02-10,Town,Yes,0.08530066387453838,0.021965206945583498,2.3374013427260087,31,0.01751412429378531
2021-02-10,Town,No,0.9146993361254616,0.021965206945583498,2.3374013427260087,348,0.19661016949152543
2021-02-10,Village or rural area,Yes,0.06744279042056897,0.014531988297803356,1.4370931743857223,39,0.022033898305084745
2021-02-10,Village or rural area,No,0.932557209579431,0.014531988297803358,1.4370931743857225,390,0.22033898305084745
2021-02-11,City,Yes,0.07007172015638304,0.01570783056327318,3.5744880317066703,62,0.03520726859738785
2021-02-11,City,No,0.929928279843617,0.015707830563273184,3.574488031706671,883,0.501419647927314
2021-02-11,Town,Yes,0.10269930197673266,0.026296022207835106,2.8664196180197723,40,0.022714366837024418
2021-02-11,Town,No,0.8973006980232674,0.026296022207835102,2.866419618019772,343,0.1947756956274844
2021-02-11,Village or rural area,Yes,0.04999094816756018,0.012268570729973354,1.36916135075663,31,0.017603634298693924
2021-02-11,Village or rural area,No,0.9500090518324398,0.012268570729973354,1.3691613507566303,402,0.2282793867120954
2021-02-12,City,Yes,0.06753876570696808,0.010725762953507485,2.2706275820027813,105,0.047254725472547256
2021-02-12,City,No,0.932461234293032,0.010725762953507483,2.2706275820027804,1139,0.5126012601260126
2021-02-12,Town,Yes,0.1274529541799483,0.029282351461556333,3.5159308365234043,48,0.021602160216021602
2021-02-12,Town,No,0.8725470458200517,0.029282351461556333,3.5159308365234043,409,0.18406840684068407
2021-02-12,Village or rural area,Yes,0.10638211946068357,0.02356312526520489,3.037047426532529,42,0.018901890189018902
2021-02-12,Village or rural area,No,0.8936178805393165,0.02356312526520489,3.037047426532529,479,0.21557155715571558
2021-02-13,City,Yes,0.06649596868355925,0.012502355569936003,2.9084148420235234,87,0.04211035818005808
2021-02-13,City,No,0.9335040313164407,0.012502355569936003,2.9084148420235234,1069,0.5174249757986448
2021-02-13,Town,Yes,0.12641693171092314,0.032168225553839226,3.9260985253165823,49,0.02371732817037754
2021-02-13,Town,No,0.873583068289077,0.032168225553839226,3.9260985253165823,371,0.17957405614714425
